   2.14237261       4.22815228       2.85155416       4.22815228       2.85155416       1.00000000    
   4.00725889       7.91217566       4.23018980       7.91217566       4.23018980       1.00000000    
   4.05706167       8.01162529       4.99638128       8.01162529       4.99638128       1.00000000    
   3.61902142       7.14307880       3.34073806       7.14307880       3.34073806       1.00000000    
   2.08136797       4.10748339       3.28291488       4.10748339       3.28291488       1.00000000    
   5.13953543       10.1482620       5.38735390       10.1482620       5.38735390       1.00000000    
   1.48794186       2.93571877       2.06371951       2.93571877       2.06371951       1.00000000    
   4.45695210       8.80185986       4.98931170       8.80185986       4.98931170       1.00000000    
   2.39474201       4.72601843       3.64330149       4.72601843       3.64330149       1.00000000    
   3.02477479       5.97295952       4.80122995       5.97295952       4.80122995       1.00000000    
   3.81575012       7.53471661       4.65732956       7.53471661       4.65732956       1.00000000    
   4.92582178       9.72788048       7.00985003       9.72788048       7.00985003       1.00000000    
   3.43260717       6.77720547       4.82989645       6.77720547       4.82989645       1.00000000    
   3.27666593       6.46840954       4.65435505       6.46840954       4.65435505       1.00000000    
   2.83185816       5.58923054       5.37048769       0.00000000       0.00000000       0.00000000    
   4.28721666       8.46369362       3.98440218       8.46369362       3.98440218       1.00000000    
   1.81613946       3.58729100       2.46657538       3.58729100       2.46657538       1.00000000    
   3.95883489       7.81483698       6.17314005       7.81483698       6.17314005       1.00000000    
   2.54292274       5.02255058       3.67474389       5.02255058       3.67474389       1.00000000    
   3.08773470       6.09440184       6.61610174       0.00000000       0.00000000       0.00000000    
   2.64038992       5.21154690       4.71498203       5.21154690       4.71498203       1.00000000    
   2.48425555       4.90331697       4.32269955       4.90331697       4.32269955       1.00000000    
   4.09894562       8.09121895       6.61867523       8.09121895       6.61867523       1.00000000    
   4.62016249       9.12298203       5.05875683       9.12298203       5.05875683       1.00000000    
   5.61154699       11.0815468       7.56987333       11.0815468       7.56987333       1.00000000    
   2.56820107       5.07449818       2.41895175       5.07449818       2.41895175       1.00000000    
   3.29679585       6.50779152       3.24487782       6.50779152       3.24487782       1.00000000    
   2.55295491       5.03984261       3.37112761       5.03984261       3.37112761       1.00000000    
   4.73993683       9.35840797       4.81700897       9.35840797       4.81700897       1.00000000    
   3.67204976       7.24834347       7.80125284       0.00000000       0.00000000       0.00000000    
   3.09690046       6.11375237       4.56769991       6.11375237       4.56769991       1.00000000    
   3.48592257       6.88303423       3.66437769       6.88303423       3.66437769       1.00000000    
   1.73977160       3.43281984       2.33369756       3.43281984       2.33369756       1.00000000    
   3.59006143       7.08933544       4.69473171       7.08933544       4.69473171       1.00000000    
   4.20681906       8.30582809       5.83227348       8.30582809       5.83227348       1.00000000    
   1.55126166       3.06419659       2.16053152       3.06419659       2.16053152       1.00000000    
   2.59046841       5.11562777       2.98200560       5.11562777       2.98200560       1.00000000    
   2.86275697       5.65441465       3.84779143       5.65441465       3.84779143       1.00000000    
   2.98720598       5.89833307       3.80051637       5.89833307       3.80051637       1.00000000    
   2.65899372       5.24876738       2.53165174       5.24876738       2.53165174       1.00000000    
   5.58976936       11.0380554       5.95479822       11.0380554       5.95479822       1.00000000    
   2.50551748       4.94788456       2.80573058       4.94788456       2.80573058       1.00000000    
   3.90600133       7.71467638       4.92373800       7.71467638       4.92373800       1.00000000    
   4.94937181       9.77364063       5.42278051       9.77364063       5.42278051       1.00000000    
   3.33674836       6.58602953       3.06968570       6.58602953       3.06968570       1.00000000    
   5.44222498       10.7478199       10.3072443       10.7478199       10.3072443       1.00000000    
   3.36434484       6.64064121       6.41194010       0.00000000       0.00000000       0.00000000    
   3.52344894       6.95908546       5.08654356       6.95908546       5.08654356       1.00000000    
   3.36229444       6.64042950       4.64405346       6.64042950       4.64405346       1.00000000    
   4.49331427       8.87349319       5.88669491       8.87349319       5.88669491       1.00000000    
   2.83569837       5.59643745       2.60705924       5.59643745       2.60705924       1.00000000    
   2.70278120       5.34193420       3.72951746       5.34193420       3.72951746       1.00000000    
   4.00630045       7.91178083       4.43813038       7.91178083       4.43813038       1.00000000    
   3.78173876       7.46584177       3.70758700       7.46584177       3.70758700       1.00000000    
   3.10759783       6.13480806       3.14311504       6.13480806       3.14311504       1.00000000    
   2.55412555       5.04250717       2.68855333       5.04250717       2.68855333       1.00000000    
   1.62347746       3.20958686       2.17624331       3.20958686       2.17624331       1.00000000    
   2.80339622       5.53549576       2.96655679       5.53549576       2.96655679       1.00000000    
   1.71526706       3.38583040       2.35451889       3.38583040       2.35451889       1.00000000    
   3.49646997       6.90455246       3.81710696       6.90455246       3.81710696       1.00000000    
   3.52832866       6.96347570       3.27911592       6.96347570       3.27911592       1.00000000    
   4.50769329       8.90050507       5.89010000       8.90050507       5.89010000       1.00000000    
   3.81410336       7.52948856       7.08941174       7.52948856       7.08941174       1.00000000    
   4.91054106       9.69568253       8.11257362       9.69568253       8.11257362       1.00000000    
   3.22974920       6.37772942       5.38920259       6.37772942       5.38920259       1.00000000    
   4.05163240       7.99571705       7.78112650       0.00000000       0.00000000       0.00000000    
   2.72515225       5.37709236       8.07931328       0.00000000       0.00000000       0.00000000    
   4.77536440       9.42714596       7.77746630       9.42714596       7.77746630       1.00000000    
   1.69883883       3.35479403       3.50492859       0.00000000       0.00000000       0.00000000    
   3.14044142       6.20378304       5.62803078       6.20378304       5.62803078       1.00000000    
   1.55070627       3.05733275       3.75746608       0.00000000       0.00000000       0.00000000    
   1.21577549       2.39994454       2.41704869       0.00000000       0.00000000       0.00000000    
   1.43316019       2.83252692       3.93725324       0.00000000       0.00000000       0.00000000    
