 177.94501 -38.40000   0.00000   0.28187
 177.94501 -38.40360   0.00000   0.28229
 177.94501 -38.40720   0.00000   0.28217
 177.94501 -38.41080   0.00000   0.28007
 177.94501 -38.41440   0.00000   0.27520
 177.94501 -38.41800   0.00000   0.27623
 177.94501 -38.42160   0.00000   0.27731
 177.94501 -38.42520   0.00000   0.27950
 177.94501 -38.42880   0.00000   0.27867
 177.94501 -38.43240   0.00000   0.28073
 177.94501 -38.43600   0.00000   0.28485
 177.94501 -38.43960   0.00000   0.29098
 177.94501 -38.44320   0.00000   0.29017
 177.94501 -38.44680   0.00000   0.29014
 177.94501 -38.45040   0.00000   0.29256
 177.94501 -38.45400   0.00000   0.29293
 177.94501 -38.45760   0.00000   0.29732
 177.94501 -38.46120   0.00000   0.30332
 177.94501 -38.46480   0.00000   0.29739
 177.94501 -38.46840   0.00000   0.29789
 177.94501 -38.47200   0.00000   0.29784
 177.94501 -38.47560   0.00000   0.29787
 177.94501 -38.47920   0.00000   0.29315
 177.94501 -38.48280   0.00000   0.29097
 177.94501 -38.48640   0.00000   0.28289
 177.94501 -38.49000   0.00000   0.27808
 177.94501 -38.49360   0.00000   0.27649
 177.94501 -38.49720   0.00000   0.27851
 177.94501 -38.50080   0.00000   0.27678
 177.94501 -38.50440   0.00000   0.27897
 177.94501 -38.50800   0.00000   0.27921
 177.94501 -38.51160   0.00000   0.28357
 177.94501 -38.51520   0.00000   0.28913
 177.94501 -38.51880   0.00000   0.28491
 177.94501 -38.52240   0.00000   0.28516
 177.94501 -38.52600   0.00000   0.28824
 177.94501 -38.52960   0.00000   0.28623
 177.94501 -38.53320   0.00000   0.28498
 177.94501 -38.53680   0.00000   0.28643
 177.94501 -38.54040   0.00000   0.28494
 177.94501 -38.54400   0.00000   0.28776
 177.94501 -38.54760   0.00000   0.27697
 177.94501 -38.55120   0.00000   0.27594
 177.94501 -38.55480   0.00000   0.28261
 177.94501 -38.55840   0.00000   0.28184
 177.94501 -38.56200   0.00000   0.28555
 177.94501 -38.56560   0.00000   0.28016
 177.94501 -38.56920   0.00000   0.28260
 177.94501 -38.57280   0.00000   0.28291
 177.94501 -38.57640   0.00000   0.27826
 177.94501 -38.58000   0.00000   0.28382
 177.94501 -38.58360   0.00000   0.28844
 177.94501 -38.58720   0.00000   0.28529
 177.94501 -38.59080   0.00000   0.28244
 177.94501 -38.59440   0.00000   0.28411
 177.94501 -38.59800   0.00000   0.28854
 177.94501 -38.60160   0.00000   0.28757
 177.94501 -38.60520   0.00000   0.28666
 177.95041 -38.40000   0.00000   0.27923
 177.95041 -38.40360   0.00000   0.27777
 177.95041 -38.40720   0.00000   0.27926
 177.95041 -38.41080   0.00000   0.28246
 177.95041 -38.41440   0.00000   0.27741
 177.95041 -38.41800   0.00000   0.27928
 177.95041 -38.42160   0.00000   0.28071
 177.95041 -38.42520   0.00000   0.27631
 177.95041 -38.42880   0.00000   0.28133
 177.95041 -38.43240   0.00000   0.28076
 177.95041 -38.43600   0.00000   0.28081
 177.95041 -38.43960   0.00000   0.28325
 177.95041 -38.44320   0.00000   0.28970
 177.95041 -38.44680   0.00000   0.29448
 177.95041 -38.45040   0.00000   0.29066
 177.95041 -38.45400   0.00000   0.29456
 177.95041 -38.45760   0.00000   0.29540
 177.95041 -38.46120   0.00000   0.29712
 177.95041 -38.46480   0.00000   0.29222
 177.95041 -38.46840   0.00000   0.29291
 177.95041 -38.47200   0.00000   0.29499
 177.95041 -38.47560   0.00000   0.29501
 177.95041 -38.47920   0.00000   0.28801
 177.95041 -38.48280   0.00000   0.28145
 177.95041 -38.48640   0.00000   0.27824
 177.95041 -38.49000   0.00000   0.27755
 177.95041 -38.49360   0.00000   0.27465
 177.95041 -38.49720   0.00000   0.27910
 177.95041 -38.50080   0.00000   0.27584
 177.95041 -38.50440   0.00000   0.27963
 177.95041 -38.50800   0.00000   0.27767
 177.95041 -38.51160   0.00000   0.28357
 177.95041 -38.51520   0.00000   0.28931
 177.95041 -38.51880   0.00000   0.28276
 177.95041 -38.52240   0.00000   0.28655
 177.95041 -38.52600   0.00000   0.28402
 177.95041 -38.52960   0.00000   0.28563
 177.95041 -38.53320   0.00000   0.28197
 177.95041 -38.53680   0.00000   0.28575
 177.95041 -38.54040   0.00000   0.29240
 177.95041 -38.54400   0.00000   0.29170
 177.95041 -38.54760   0.00000   0.28487
 177.95041 -38.55120   0.00000   0.28405
 177.95041 -38.55480   0.00000   0.28629
 177.95041 -38.55840   0.00000   0.28885
 177.95041 -38.56200   0.00000   0.29115
 177.95041 -38.56560   0.00000   0.28843
 177.95041 -38.56920   0.00000   0.28478
 177.95041 -38.57280   0.00000   0.28735
 177.95041 -38.57640   0.00000   0.28740
 177.95041 -38.58000   0.00000   0.28225
 177.95041 -38.58360   0.00000   0.28897
 177.95041 -38.58720   0.00000   0.28806
 177.95041 -38.59080   0.00000   0.28402
 177.95041 -38.59440   0.00000   0.28841
 177.95041 -38.59800   0.00000   0.28961
 177.95041 -38.60160   0.00000   0.28650
 177.95041 -38.60520   0.00000   0.29081
 177.95581 -38.40000   0.00000   0.28217
 177.95581 -38.40360   0.00000   0.28725
 177.95581 -38.40720   0.00000   0.28594
 177.95581 -38.41080   0.00000   0.27912
 177.95581 -38.41440   0.00000   0.27869
 177.95581 -38.41800   0.00000   0.28353
 177.95581 -38.42160   0.00000   0.27897
 177.95581 -38.42520   0.00000   0.27316
 177.95581 -38.42880   0.00000   0.28255
 177.95581 -38.43240   0.00000   0.28307
 177.95581 -38.43600   0.00000   0.28655
